Year or Period	Unigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[2004, 2008]	дружно	Q18407090	Дружно	P131	административно-территориальная единица	Друженское сельское поселение	0	0	2004-11-19	0	0
[2004, 2008]	дружно	Q18407090	Дружно	P131	административно-территориальная единица	Дмитровский район	0	0	1965-01-12	2004-11-18	0
1929	дубовый	Q4169462	Дубовое	P571	дата основания/создания/возникновения	0	0	1929-01-01	0	0	0
1929	дубовый	Q4091916	Дубовое	P571	дата основания/создания/возникновения	0	0	1929-01-01	0	0	0
[1994, 1998]	десант	Q5610407	Десант	P577	дата публикации	0	0	1995-02-08	0	0	0
[1977, 1979]	девон	Q237375	Девон	P569	дата рождения	0	0	1977-03-28	0	0	0
1973	думка	Q1389472	Думка	P571	дата основания/создания/возникновения	0	0	1873-01-01	0	0	0
[1993, 1997]	дерзкий	Q503199	Дерзкий	P577	дата публикации	0	0	1994-01-01	0	0	0
[1937, 1946]	дерзкий	Q4096591	Британские танки Mk.V	P571	дата основания/создания/возникновения	0	0	1938-01-01	0	0	0
[1953, 1963]	дизель	Q204519	Дизель	P571	дата основания/создания/возникновения	0	0	1955-01-01	0	0	0
1987	двенадцатый	Q19151065	Двенадцатый	P577	дата публикации	0	0	1887-01-01	0	0	0
[1923, 1926]	даниил	Q443453	Даниил	P571	дата основания/создания/возникновения	0	0	1925-01-01	0	0	0
[1987, 1998]	даниил	Q878692	Даниил	P570	дата смерти	0	0	1993-09-14	0	0	0
[1980, 1985]	даниил	Q1754684	Даниил	P569	дата рождения	0	0	1980-02-16	0	0	0
[1955, 1959]	докторский	Q4164316	Докторски, Генри	P569	дата рождения	0	0	1956-01-30	0	0	0
[1930, 1936]	дарвин	Q1166896	Дарвин	P138	названо в честь	Чарльз Дарвин	0	0	1935-01-01	0	0
1948	двойник	Q4155819	Двойник	P571	дата основания/создания/возникновения	0	0	1946-01-01	0	0	0
[1998, 2000]	двойник	Q1121918	Двойник	P1411	номинирован на	Filmfare Award за лучшее исполнение отрицательной роли	0	0	0	0	1999-01-01
[1998, 2000]	двойник	Q1121918	Двойник	P1411	номинирован на	Zee Cine Award for Best Actor – Female	0	0	0	0	1999-01-01
[1998, 2000]	двойник	Q1121918	Двойник	P577	дата публикации	0	0	1998-05-08	0	0	0
[1971, 1975]	двойник	Q4913864	Двойник	P577	дата публикации	0	0	1972-01-01	0	0	0
[1998, 2000]	двойник	Q1121918	Двойник	P1411	номинирован на	Zee Cine Award for Best Actor – Male	0	0	0	0	1999-01-01
[1998, 2000]	двойник	Q1121918	Двойник	P166	полученные награды	Bollywood Movie Award – Most Sensational Actress	0	0	0	0	1999-01-01
[2006, 2007]	денисов	Q15378890	Денисовы	P131	административно-территориальная единица	Денисовское сельское поселение	0	0	2006-01-01	0	0
[1990, 1992]	дина	Q4161760	Дина	P577	дата публикации	0	0	1991-01-01	0	0	0
[1990, 1992]	дина	Q1150594	Императорский спортивный клуб«Дина» Москва	P571	дата основания/создания/возникновения	0	0	1991-08-22	0	0	0
[1930, 1933]	димитрий	Q1282567	Димитрий	P570	дата смерти	0	0	1930-04-06	0	0	0
[1961, 1962]	димитрий	Q763755	Димитрий	P569	дата рождения	0	0	1961-02-16	0	0	0
1993	димитрий	Q342360	Димитрий	P570	дата смерти	0	0	1991-10-02	0	0	0
[1975, 1977]	димитрий	Q19742519	Димитрий	P570	дата смерти	0	0	1976-12-31	0	0	0
[1987, 1997]	димитрий	Q16644246	Димитрий	P570	дата смерти	0	0	1990-07-10	0	0	0
[1939, 1943]	димитрий	Q18238765	Димитрий	P569	дата рождения	0	0	1939-03-03	0	0	0
[1961, 1962]	димитрий	Q18741245	Димитрий	P569	дата рождения	0	0	1961-11-01	0	0	0
[1979, 1984]	димитрий	Q20021017	Димитрий	P570	дата смерти	0	0	1979-05-26	0	0	0
